name	count
ALEXAND. NIKOL.	1
KARL VOLRAD	1
ERNST ARTUR	1
JOHAN MAURITZ EUGEN	1
AMANDA CATARINA	3
KARL JOHAN ALEXIS	1
BERET KRISTINA	2
AMANDA MARGR.	2
KRISTINA ERIKA ANDRIETTA	4
JOSE OLOF	1
FR. CHR.	4
CAJSA CICILIA	9
ADA AMALIA ELEONORA	1
VERNER KONRAD FERDINAND	1
MARTA CECILIA	3
FRANS PHILIPP	1
ISAAC NICLAS	3
ANNA MARGRETA SOFIA	1
FREDRIKA MARIANN	1
JONAS VERNER	8
SVEN VICTOR	1
FREDRIKA MARIANA	5
BETTY LOVISA AUGUSTA	1
JOH. JOSEF.	1
CARL ISRAEL	3
ERIKA THILDA	1
ELIDA THERESIA	3
C. ARON	1
PE GULLBRAND	1
SELMA KATARINA SELMA	1
FREDRIKA PETR.	1
JOHAN OLOF HELGE	1
CATARINA PAULINA JOSEFINA	1
SEVERA KAROLINA	1
ELOF ARNOLD	2
MARTA CHRIST.	2
ERIK FRANS OLOF OSKAR	9
A	27
HILMA VILHELMINA	7ÃŸ